server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
三清山,324996,1786838400000,2026-08-16 08,5.9,1869,2026-08-16T22:28:31.195Z
三清山,324996,1786842000000,2026-08-16 09,5.898,982,2026-08-17T01:45:37.141Z
三清山,324996,1786845600000,2026-08-16 10,5.836,3043,2026-08-17T01:45:37.141Z
三清山,324996,1786849200000,2026-08-16 11,5.847,3282,2026-08-17T01:45:37.141Z
三清山,324996,1786852800000,2026-08-16 12,5.859,3404,2026-08-17T04:51:28.604Z
三清山,324996,1786856400000,2026-08-16 13,5.799,2500,2026-08-17T04:51:28.604Z
三清山,324996,1786860000000,2026-08-16 14,5.789,7482,2026-08-17T04:51:28.604Z
三清山,324996,1786863600000,2026-08-16 15,5.789,5349,2026-08-17T07:08:32.325Z
三清山,324996,1786867200000,2026-08-16 16,5.829,6808,2026-08-17T07:08:32.325Z
三清山,324996,1786870800000,2026-08-16 17,5.802,2293,2026-08-17T09:50:55.698Z
三清山,324996,1786874400000,2026-08-16 18,5.769,1767,2026-08-17T09:50:55.698Z
三清山,324996,1786878000000,2026-08-16 19,5.733,3209,2026-08-17T11:32:32.497Z
三清山,324996,1786881600000,2026-08-16 20,5.716,3477,2026-08-17T12:57:12.908Z
三清山,324996,1786885200000,2026-08-16 21,5.609,5762,2026-08-17T13:44:49.386Z
三清山,324996,1786888800000,2026-08-16 22,5.519,4210,2026-08-17T13:44:49.386Z
三清山,324996,1786892400000,2026-08-16 23,5.534,2281,2026-08-17T15:32:01.591Z
三清山,324996,1786896000000,2026-08-17 00,5.42,1589,2026-08-17T16:35:33.344Z
三清山,324996,1786899600000,2026-08-17 01,5.435,2417,2026-08-17T16:35:33.344Z
三清山,324996,1786903200000,2026-08-17 02,5.459,664,2026-08-17T18:49:49.813Z
三清山,324996,1786906800000,2026-08-17 03,5.45,1068,2026-08-17T19:33:51.073Z
三清山,324996,1786910400000,2026-08-17 04,5.492,432,2026-08-17T19:33:51.073Z
三清山,324996,1786914000000,2026-08-17 05,5.492,0,2026-08-17T19:33:51.073Z
三清山,324996,1786917600000,2026-08-17 06,5.427,10,2026-08-17T22:31:19.375Z
三清山,324996,1786922971816,2026-08-17 07,5.427,0,2026-08-17T23:29:09.756Z
三清山,324996,1786924800000,2026-08-17 08,5.427,836,2026-08-17T23:29:09.756Z
三清山,324996,1786928400000,2026-08-17 09,5.367,1606,2026-08-17T23:29:09.756Z
三清山,324996,1786932000000,2026-08-17 10,5.206,1305,2026-08-17T23:29:09.756Z
三清山,324996,1786935600000,2026-08-17 11,5.243,2767,2026-08-18T03:52:07.029Z
